SHOP CODE,BOOK NUMBER,Work Order Number,DATE,CUSTOMER NAME,Customer Address,Customer PHONE NUMBER,Description of GOODS,Quanity,Unit of Measurement,Rate,AMOUNT,ADV,Adv DATE,Product Delivered
PP,6546757,2,6/8/10,trtn ytjyt,rtytry tyty yuyuy,656765,hjgj hjytu  ytu,10,PCS,5,5454,ghfhf,5/8/11,no
MK,43532,3,16/7/2008,abcd customer,adj dsjf dhaka,4355453,dsf dfsnnj kdskfk dsfg,34,ROLL,45,678,ad gfd,4/5/90,yes
QC,43532,4,16/7/2008,abcd customer,adj dsjf dhaka savar,4355453,dsf dfsnnj kdskfk dsfg,34,SFT,45,678,ad gfd,4/5/90,Yes
ERD,43532,8,16/7/2008,abcd customer,adj dsjf dhaka,4355453,dsf dfsnnj kdskfk dsfg,34,PCS,45,678,ad gfd,4/5/90,yes
,67676,9,20/06/2016, uyyu kk,dsdsfsd ff,55120051,dsfdsfdsf,10,ROLL,78,780,dsfdsf,20/06/2016,Yes
MK,4654,11,20/06/2016,rtert,t56,46546,fghfgh,56,ROLL,54,3024,gfhfghfg,20/06/2016,Yes
,5656,13,21/06/2016,retert,rtetret,564645,546vcvxcv,55,,546,30030,fgdfgd,21/06/2016,Yes
MK,565,14,21/06/2016,erfdjukuh,fgvfdg gjgh445,56456,cvbfvbcb,5,ROLL,56,280,gfvbcvbvc,21/06/2016,No
PP,5675,15,28/06/2016,rrtre,rttret,657,fdgfgfd,6,PCS,56,336,fghfhf,28/06/2016,Yes
PP,6565,17,28/06/2016,fghfh,fghfgh,5655,fghfhg,5,PCS,65,325,fghfghfg,28/06/2016,Yes
MK,1,18,28/06/2016,niloy saha,236\2 block-k bankers road gazipur,1521440671,asjBJasbxjhbS,2,PCS,1200,2400,OI2NWD,28/06/2016,Yes
